line,prev_node,next_node,prev_sku,next_sku,edge_type
14,EMD BRAU|1/3|P12|KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,EMD BRAU|1/3|P12|KR6BNEB9,C0_self
14,EMD BRAU|1/3|P12|KR6BNEB9,VOLL DAMM|1/3|P6|KR00528,EMD BRAU|1/3|P12|KR6BNEB9,VOLL DAMM|1/3|P6|KR00528,C_brand
14,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,C0_self
14,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00441,C_envase
14,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00440,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00440,C_envase
14,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,C0_self
14,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,C0_self
14,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,C_envase
14,ESTRELLA DAMM|1/3|UNI|KR00443,VOLL DAMM|1/3|UNI|KR00528,ESTRELLA DAMM|1/3|UNI|KR00443,VOLL DAMM|1/3|UNI|KR00528,C_brand
14,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00443,C_envase
14,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,C0_self
