week,line,prev_sku,next_sku,count
1,14,VI13L6N,VO13LTNN,1
1,14,VI13LP6M,VI13L6N,1
1,17,TU13LTN,VO13LTNN,1
1,17,VI13LN,VO13LTNN,1
1,17,VO13LTNN,TU13LTN,1
1,19,ED1324MZ,DL13LN,1
1,19,ED1324MZ,XI13LTN,1
1,19,ED13LP12,ED13LTW,1
1,19,ED13LTW,ED13P24M,1
1,19,ED13P24M,ED1324MZ,1
1,19,XI13LTN,ED1324MZ,1
2,14,ED12LTW,VI13L6N,1
2,14,ED13LCMM,VI13LP6M,1
2,14,ED13LCMW,VO13L6M1,1
2,14,VI13L6N,ED13LCMM,1
2,14,VI13L6N,VO13LTNN,1
2,14,VI13LP6M,ED13LCMW,1
2,14,VI13LP6M,VI13L6N,1
2,14,VO13L6M1,VO13LTMN,1
2,14,VO13LTMN,VO13LTP6,1
2,14,VO13LTNN,ED12LTW,1
2,14,VO13LTP6,XI13LTN,1
2,17,CM13LT,DL13LN,1
2,17,ED13LP24,ED13LTFW,1
2,17,ED13LTFW,ED13LTW,1
2,17,ED13LTW,FDL13LN,1
2,17,FDL13LN,SK13LN,1
2,17,FDT13LT,TU13LTN,1
2,17,KE13LTNN,KE13PL12,1
2,17,KE13PL12,TU13LP12,1
2,17,SK13LN,CM13LT,1
2,17,TU13LP12,FDT13LT,1
2,17,TU13LTN,VI13LN,1
2,17,TU13LTN,VO13LTNN,1
2,17,VI13LN,VO13LTNN,2
2,17,VO13LTNN,ED13LP24,1
2,17,VO13LTNN,KE13LTNN,1
2,17,VO13LTNN,TU13LTN,1
2,19,CB12LTF,ED12LTW,1
2,19,DL13LN,EX12LTBN,1
2,19,ED12LTW,VI12LTN,1
2,19,ED1324MZ,DL13LN,1
2,19,ED1324MZ,XI13LTN,1
2,19,ED13LP12,ED13LTW,1
2,19,ED13LP12,VO13P12M,1
2,19,ED13LTW,ED13P24M,1
2,19,ED13P24M,ED1324MZ,1
2,19,EX12LTBN,XI12LT,1
2,19,EX13L24B,EX13LBUK,1
2,19,EX13LBUK,FD13LP4A,1
2,19,FD13LP4A,FDT1312N,1
2,19,FDT1312N,LC12LTNN,1
2,19,LC12LTNN,VI12LTN,1
2,19,VI12LTN,ED13LP12,1
2,19,VI12LTN,EX13L24B,1
2,19,VO13P12M,VO13PL12,1
2,19,VO13PL12,ED13P12M,1
2,19,XI12LT,CB12LTF,1
2,19,XI13LTN,ED1324MZ,1
3,14,ECN13L6U,ED13LCMM,1
3,14,ED12LTW,VI13L6N,1
3,14,ED13LCMM,VI13L6N,1
3,14,ED13LCMM,VO13LTP6,1
3,14,ED13LCMW,XI13LTN,1
3,14,ED13LTMW,ED13LTW,1
3,14,ED13LTW,FDL13LN,1
3,14,VI13L6N,ED13LCMM,1
3,14,VI13L6N,VI13LP6M,1
3,14,VI13L6N,VO13LTNN,1
3,14,VI13LP6M,ED13LCMW,1
3,14,VI13LP6M,ED13LTMW,1
3,14,VI13LP6M,VI13L6N,1
3,14,VO13L6M1,VO13LTMN,1
3,14,VO13LTMN,VI13LP6M,1
3,14,VO13LTNN,ED12LTW,1
3,14,VO13LTP6,VO13L6M1,1
3,14,XI13LTN,ECN13L6U,1
3,17,CM13LT,DL13LN,1
3,17,DL13LN,FDT13LT,1
3,17,EC13LTNN,ED13LTFW,1
3,17,ED13LP24,ED13LTFW,1
3,17,ED13LTFW,CM13LT,1
3,17,ED13LTFW,VO13LTNN,1
3,17,ED13LTW,ED13P24M,1
3,17,ED13LTW,SK13LN,1
3,17,ED13P24M,DL13LN,1
3,17,ED13P24M,ED13P24M,1
3,17,FD13LN,TNT13LT,1
3,17,FDL13LN,ED13LTW,1
3,17,FDT13LT,FD13LN,1
3,17,FDT13LT,TU13LP12,1
3,17,KE13LTNN,KE13PL12,1
3,17,KE13PL12,TU13LTN,1
3,17,SK13LN,ED13LP24,1
3,17,TNT13LT,VNT13LT,1
3,17,TU13LP12,VO13LTNN,1
3,17,TU13LTN,VI13LN,1
3,17,TU13LTN,VO13LTNN,1
3,17,VI13LN,FDT13LT,1
3,17,VI13LN,VO13LTNN,1
3,17,VNT13LT,XI13LTN,1
3,17,VO13LP24,EC13LTNN,1
3,17,VO13LTNN,ED13LTW,1
3,17,VO13LTNN,FDL13LN,1
3,17,VO13LTNN,KE13LTNN,1
3,17,VO13LTNN,TU13LTN,1
3,17,XI13LTN,VO13LP24,1
3,19,CB12LTF,VI12LTN,1
3,19,DL13LN,EX12LTBN,1
3,19,ED12LTW,CB12LTF,1
3,19,ED1324MZ,DL13LN,1
3,19,ED1324MZ,XI13LTN,1
3,19,ED13LP12,ED13LTW,1
3,19,ED13LP12,VO13P12M,1
3,19,ED13LTW,ED13P24M,1
3,19,ED13P12M,EX25LBAN,1
3,19,ED13P12M,VI1312MN,1
3,19,ED13P24M,ED1324MZ,1
3,19,EN13LB24,TU13LP12,1
3,19,EX12LTBN,XI12LT,1
3,19,EX13L24B,FD13LP4A,1
3,19,EX13LBUK,EX13L24B,1
3,19,EX25LBAN,EX25LBAN,1
3,19,EX25LBAN,RL25LBAN,1
