of,fecha,line,sku,marca,envase,tipo_envase,material_precio,node_marca,node_volumen,node_pack,node_envase,node,h_tot,hl,oee,week,week_start
0000519450-1,2025-01-03,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,15.036388888888888,399.24,0.13408213408213407,2024-12-30/2025-01-05,2024-12-30
0000520179-1,2025-01-03,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,11.925,276.78,0.11721406941532728,2024-12-30/2025-01-05,2024-12-30
0000520116-1,2025-01-04,14,VO13LTNN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,11.69361111111111,734.63,0.31726726370050123,2024-12-30/2025-01-05,2024-12-30
0000519446-1,2025-01-09,14,ED12LTW,ESTRELLA DAMM,KR00127,LATA 1/2 SR.,ESTRELLA DAMM 1/2 LATA,ESTRELLA DAMM,1/2,UNI,KR00127,ESTRELLA DAMM|1/2|UNI|KR00127,39.50833333333333,2967.63,0.36237502861940013,2025-01-06/2025-01-12,2025-01-06
0000519449-1,2025-01-09,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,5.469444444444444,401.6,0.3707973590655155,2025-01-06/2025-01-12,2025-01-06
0000520178-1,2025-01-09,14,ED13LCMM,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,10.560277777777777,278.81,0.13333508693479232,2025-01-06/2025-01-12,2025-01-06
0000526575-1,2025-01-10,14,VI13LP6M,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,4.3502777777777775,419.18,0.4866228210203691,2025-01-06/2025-01-12,2025-01-06
0000526687-1,2025-01-10,14,ED13LCMW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,5.599722222222222,382.7,0.3451560097227045,2025-01-06/2025-01-12,2025-01-06
0000526689-1,2025-01-10,14,VO13L6M1,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,7.018611111111111,406.98,0.2928325483832667,2025-01-06/2025-01-12,2025-01-06
0000526690-1,2025-01-10,14,VO13LTMN,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00525,VOLL DAMM|1/3|UNI|KR00525,5.606388888888889,337.72,0.30421641975920327,2025-01-06/2025-01-12,2025-01-06
PRT9900015326-M,2025-01-10,14,VO13LTP6,VOLL DAMM,KR00525,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK C. 6U.,VOLL DAMM,1/3,P6,KR00525,VOLL DAMM|1/3|P6|KR00525,3.1302777777777777,305.61,0.49347188915534246,2025-01-06/2025-01-12,2025-01-06
0000526576-1,2025-01-11,14,XI13LTN,XIBECA,KR00716,LATA 1/3 SR.,XIBECA 1/3 LATA,XIBECA,1/3,UNI,KR00716,XIBECA|1/3|UNI|KR00716,5.793055555555555,440.24,0.3839217191097467,2025-01-06/2025-01-12,2025-01-06
0000525674-1,2025-01-13,14,ECN13L6U,"DAURA 0,0",KR06400,LATA 1/3 SR.,DAURA N.A. 1/3 LATA C-4PACK C.6U CRAFTED,"DAURA 0,0",1/3,PACK,KR06400,"DAURA 0,0|1/3|PACK|KR06400",10.666666666666666,401.3,0.19314872663736962,2025-01-13/2025-01-19,2025-01-13
0000525675-1,2025-01-14,14,ED13LCMM,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,6.1194444444444445,438.69,0.36215038140210676,2025-01-13/2025-01-19,2025-01-13
0000525681-1,2025-01-14,14,VI13L6N,VICTORIA,KR81115,LATA 1/3 SR.,VICTORIA 1/3 LATA PACK CERRADO 6U.,VICTORIA,1/3,P6,KR81115,VICTORIA|1/3|P6|KR81115,7.0616666666666665,611.49,0.43747048638438535,2025-01-13/2025-01-19,2025-01-13
