number,value,datetime_start,datetime_complete,duration,params_elitism,params_mut_prob,params_tour_size,state
0,268.58115496883215,2026-06-08 09:27:41.121294,2026-06-08 09:27:44.227926,0 days 00:00:03.106632,10,0.4370861069626263,6,COMPLETE
1,267.15612991954436,2026-06-08 09:27:44.246305,2026-06-08 09:27:47.412706,0 days 00:00:03.166401,2,0.6387926357773329,2,COMPLETE
2,266.46447817993806,2026-06-08 09:27:47.413717,2026-06-08 09:27:49.180290,0 days 00:00:01.766573,9,0.15227525095137953,5,COMPLETE
3,270.27500321922713,2026-06-08 09:27:49.181402,2026-06-08 09:27:55.841707,0 days 00:00:06.660305,1,0.737265320016441,7,COMPLETE
4,266.4455008282669,2026-06-08 09:27:55.847963,2026-06-08 09:28:03.517837,0 days 00:00:07.669874,3,0.8491983767203796,3,COMPLETE
5,269.4265864871092,2026-06-08 09:28:03.520517,2026-06-08 09:28:07.581638,0 days 00:00:04.061121,4,0.2650640588680905,5,COMPLETE
6,268.61055823382407,2026-06-08 09:28:07.582663,2026-06-08 09:28:12.682100,0 days 00:00:05.099437,3,0.48875051677790415,5,COMPLETE
7,268.8946490539455,2026-06-08 09:28:12.694489,2026-06-08 09:28:17.597974,0 days 00:00:04.903485,3,0.22554447458683766,4,COMPLETE
8,270.36378095018694,2026-06-08 09:28:17.600523,2026-06-08 09:28:21.850272,0 days 00:00:04.249749,8,0.5104629857953323,3,COMPLETE
9,267.6006105589544,2026-06-08 09:28:21.851937,2026-06-08 09:28:25.410080,0 days 00:00:03.558143,6,0.5628109945722505,2,COMPLETE
10,267.0101983645163,2026-06-08 09:28:25.415643,2026-06-08 09:28:30.940225,0 days 00:00:05.524582,6,0.9723614314399475,7,COMPLETE
11,267.55108131902705,2026-06-08 09:28:30.941766,2026-06-08 09:28:39.721067,0 days 00:00:08.779301,10,0.9390613077206087,4,COMPLETE
12,269.6260819603168,2026-06-08 09:28:39.723737,2026-06-08 09:28:47.168338,0 days 00:00:07.444601,6,0.11403531969261055,3,COMPLETE
13,271.4401399108495,2026-06-08 09:28:47.170641,2026-06-08 09:28:52.457286,0 days 00:00:05.286645,8,0.7645649902525189,5,COMPLETE
14,269.2980636903129,2026-06-08 09:28:52.458303,2026-06-08 09:28:57.748897,0 days 00:00:05.290594,8,0.3572688776005893,3,COMPLETE
15,270.0694807869303,2026-06-08 09:28:57.750134,2026-06-08 09:29:02.686980,0 days 00:00:04.936846,5,0.8074672937766332,4,COMPLETE
16,265.6198382282131,2026-06-08 09:29:02.688301,2026-06-08 09:29:06.167222,0 days 00:00:03.478921,1,0.10951583611487466,6,COMPLETE
17,269.89571074926897,2026-06-08 09:29:06.168493,2026-06-08 09:29:10.849714,0 days 00:00:04.681221,1,0.3580944958253691,6,COMPLETE
18,269.98280905212494,2026-06-08 09:29:10.852349,2026-06-08 09:29:14.391685,0 days 00:00:03.539336,2,0.878081437666873,6,COMPLETE
19,267.40085235941774,2026-06-08 09:29:14.393234,2026-06-08 09:29:17.977142,0 days 00:00:03.583908,4,0.6803150824063098,2,COMPLETE
